NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD209	1302	4.1819305419921875	-0.07294667	No	
row_1	RAB3B	1374	3.9500575065612793	-0.06520791	No	
row_2	RAB8B	2371	1.8906124830245972	-0.1251294	No	
row_3	PIKFYVE	2435	1.810276985168457	-0.123597436	No	
row_4	ULBP3	2528	1.7045931816101074	-0.12431615	No	
row_5	LNPEP	2879	1.3568347692489624	-0.14319307	No	
row_6	IDE	4800	0.3528951406478882	-0.2690663	No	
row_7	ULBP2	4913	0.3260294795036316	-0.2754474	No	
row_8	ERAP2	5460	0.19288988411426544	-0.3109513	No	
row_9	WDFY4	5738	0.13153044879436493	-0.32885736	No	
row_10	RFTN1	6347	0.016250813379883766	-0.36901784	No	
row_11	CD1A	6382	0.011637208051979542	-0.3712299	No	
row_12	RAB10	6398	0.009082619100809097	-0.37219337	No	
row_13	CD1C	6619	-0.026041138917207718	-0.38666165	No	
row_14	DNM2	6785	-0.0513075515627861	-0.39741284	No	
row_15	ARL8B	7055	-0.0989081934094429	-0.4148925	No	
row_16	CTSE	7180	-0.12052083760499954	-0.42271414	No	
row_17	HFE	8009	-0.2875441610813141	-0.47657087	No	
row_18	LGMN	8076	-0.302280068397522	-0.4799844	No	
row_19	RAB6A	8166	-0.32269057631492615	-0.48485485	No	
row_20	RAB34	8205	-0.3340991735458374	-0.48631635	No	
row_21	ACE	8349	-0.36890357732772827	-0.49461272	No	
row_22	SLC11A1	8504	-0.4069271981716156	-0.5035169	No	
row_23	PDIA3	8907	-0.5114316940307617	-0.5284943	No	
row_24	CD1E	9110	-0.568779706954956	-0.5400636	No	
row_25	CTSD	9116	-0.5705710649490356	-0.5385982	No	
row_26	RAB35	10202	-0.9472406506538391	-0.60737556	No	
row_27	RAB4A	10207	-0.9483851194381714	-0.60465467	No	
row_28	RAB5B	10354	-1.00447678565979	-0.6111487	No	
row_29	FCGR2B	10752	-1.1761950254440308	-0.63370275	No	
row_30	MR1	11548	-1.5456969738006592	-0.6814164	No	
row_31	ERAP1	11698	-1.620885968208313	-0.68616843	No	
row_32	CTSH	11804	-1.6818205118179321	-0.6878186	No	
row_33	ABCB9	11885	-1.7303004264831543	-0.6876627	No	
row_34	RAB33A	11926	-1.7580854892730713	-0.6847739	No	
row_35	HLA-DQB2	11970	-1.7838993072509766	-0.68200225	No	
row_36	RAB27A	12076	-1.8591340780258179	-0.6830942	No	
row_37	CLEC4A	12314	-2.0309603214263916	-0.6923755	No	
row_38	CALR	12424	-2.099682569503784	-0.6929748	No	
row_39	MFSD6	12742	-2.3609001636505127	-0.70650846	No	
row_40	CTSF	12781	-2.396587610244751	-0.7014774	No	
row_41	RAB32	13647	-3.2771894931793213	-0.74837005	Yes	
row_42	IKBKB	13756	-3.425952434539795	-0.7447282	Yes	
row_43	CD1D	13954	-3.7113146781921387	-0.7460743	Yes	
row_44	HLA-DQB1	14003	-3.8160595893859863	-0.73723626	Yes	
row_45	SAR1B	14074	-3.944960832595825	-0.72944736	Yes	
row_46	HLA-DQA1	14260	-4.2740678787231445	-0.72822833	Yes	
row_47	HLA-DQA2	14348	-4.473880290985107	-0.7198988	Yes	
row_48	HLA-G	14427	-4.646975994110107	-0.7104292	Yes	
row_49	FCER1G	14516	-4.856703758239746	-0.7009607	Yes	
row_50	CD8A	14548	-4.95852518081665	-0.68740183	Yes	
row_51	TAPBPL	14649	-5.219629287719727	-0.6775846	Yes	
row_52	TAPBP	14959	-6.866138458251953	-0.6764069	Yes	
row_53	MICB	14963	-6.880533218383789	-0.65494585	Yes	
row_54	CTSS	14991	-7.176479339599609	-0.6341405	Yes	
row_55	HLA-DPB1	15026	-7.668962478637695	-0.61224777	Yes	
row_56	CD74	15048	-8.001235008239746	-0.5884493	Yes	
row_57	HLA-DRB5	15066	-8.290501594543457	-0.56347567	Yes	
row_58	HLA-DOA	15076	-8.431190490722656	-0.53753006	Yes	
row_59	HLA-DRB1	15082	-8.55451488494873	-0.51093173	Yes	
row_60	HLA-DMB	15088	-8.659514427185059	-0.48400283	Yes	
row_61	HLA-DPA1	15109	-9.121464729309082	-0.45661178	Yes	
row_62	HLA-DRA	15118	-9.25808334350586	-0.42799705	Yes	
row_63	IFI30	15134	-10.030172348022461	-0.3974148	Yes	
row_64	B2M	15138	-10.261972427368164	-0.36530918	Yes	
row_65	HLA-C	15149	-11.099032402038574	-0.33103153	Yes	
row_66	HLA-E	15150	-11.117681503295898	-0.2960338	Yes	
row_67	HLA-B	15151	-11.138444900512695	-0.2609707	Yes	
row_68	HLA-DMA	15159	-11.834590911865234	-0.22417915	Yes	
row_69	HLA-DOB	15164	-12.35726261138916	-0.18554385	Yes	
row_70	HLA-A	15166	-12.697202682495117	-0.14564002	Yes	
row_71	HLA-F	15179	-14.076173782348633	-0.1021228	Yes	
row_72	TAP2	15183	-14.824706077575684	-0.055654004	Yes	
row_73	TAP1	15190	-17.86861801147461	1.9841247E-4	Yes	
