NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMD1	5314	0.22554078698158264	-0.3511605	No	
row_1	ANAPC2	5867	0.10273704677820206	-0.38739517	No	
row_2	CDC27	6006	0.0779806450009346	-0.39629382	No	
row_3	PSME3	7201	-0.12382311373949051	-0.4749721	No	
row_4	FZR1	7720	-0.22322435677051544	-0.5085869	No	
row_5	PSMC4	7911	-0.26553699374198914	-0.5203547	No	
row_6	CDC23	7930	-0.2692982852458954	-0.5207225	No	
row_7	ANAPC4	7967	-0.2778170108795166	-0.5222561	No	
row_8	CDC16	8331	-0.36500513553619385	-0.5451742	No	
row_9	KPNB1	8424	-0.3896132707595825	-0.55007356	No	
row_10	RPS27A	8450	-0.3954343795776367	-0.55051893	No	
row_11	ANAPC1	8952	-0.5249675512313843	-0.58208483	No	
row_12	RPA1	9088	-0.5625913143157959	-0.58930206	No	
row_13	KPNA1	9127	-0.5731744766235352	-0.5900643	No	
row_14	PSMD5	9468	-0.6802237033843994	-0.61049503	No	
row_15	ANAPC16	9499	-0.6896664500236511	-0.6103712	No	
row_16	KPNA6	9509	-0.6920866370201111	-0.60884947	No	
row_17	PSMD3	9736	-0.7770227789878845	-0.6214358	No	
row_18	UBE2D1	9880	-0.8276664018630981	-0.62837166	No	
row_19	PSMD8	9916	-0.840112566947937	-0.6281185	No	
row_20	POLE	10182	-0.9394860863685608	-0.6427901	No	
row_21	MCM8	10570	-1.0927809476852417	-0.6650704	No	
row_22	UBB	10689	-1.14455246925354	-0.6693814	No	
row_23	CDC26	10741	-1.1695789098739624	-0.6691795	No	
row_24	UBC	10939	-1.2639217376708984	-0.67835593	No	
row_25	PSMD12	11082	-1.3253339529037476	-0.6837028	No	
row_26	PSMD2	11084	-1.3259129524230957	-0.679712	No	
row_27	PSMC5	11112	-1.3426692485809326	-0.6773914	No	
row_28	POLA1	11717	-1.6311213970184326	-0.71239257	No	
row_29	MCM10	11789	-1.6711336374282837	-0.71198034	No	
row_30	CDC6	11816	-1.6895831823349	-0.7085321	No	
row_31	ANAPC5	11845	-1.7070103883743286	-0.70516294	No	
row_32	PSMF1	11875	-1.725949764251709	-0.701802	No	
row_33	PSMB7	12026	-1.8138827085494995	-0.70618373	No	
row_34	PSMC1	12253	-1.983543872833252	-0.7150784	No	
row_35	PSMD10	12407	-2.0914218425750732	-0.71880955	No	
row_36	PSMB5	12517	-2.166536569595337	-0.7193975	No	
row_37	PSMA1	12543	-2.193392038345337	-0.71434146	No	
row_38	PSMD6	12747	-2.3660945892333984	-0.7205427	Yes	
row_39	CDC7	12821	-2.428292989730835	-0.7179462	Yes	
row_40	RPA3	12933	-2.5309202671051025	-0.7175516	Yes	
row_41	PSMD13	13082	-2.6853890419006348	-0.7191343	Yes	
row_42	UBA52	13090	-2.697148323059082	-0.711345	Yes	
row_43	ANAPC7	13096	-2.704274892807007	-0.70340157	Yes	
row_44	POLE2	13147	-2.74045467376709	-0.69832695	Yes	
row_45	PSMA7	13200	-2.785933256149292	-0.6932456	Yes	
row_46	MCM7	13219	-2.8050425052642822	-0.6858546	Yes	
row_47	POLE3	13280	-2.856867551803589	-0.6810859	Yes	
row_48	MCM5	13318	-2.9045684337615967	-0.67464834	Yes	
row_49	CDK2	13406	-2.992527484893799	-0.6712523	Yes	
row_50	PRIM2	13411	-2.996981382369995	-0.662347	Yes	
row_51	PSMB2	13467	-3.0542337894439697	-0.65664333	Yes	
row_52	PSMC3	13560	-3.16575288772583	-0.65304834	Yes	
row_53	MCM4	13596	-3.2002570629119873	-0.6455736	Yes	
row_54	UBE2S	13673	-3.3095645904541016	-0.64047915	Yes	
row_55	MCM2	13714	-3.367718458175659	-0.6328231	Yes	
row_56	MCM6	13727	-3.384777307510376	-0.623261	Yes	
row_57	ANAPC10	13731	-3.391486406326294	-0.61308235	Yes	
row_58	CDC45	13752	-3.4191815853118896	-0.6039446	Yes	
row_59	PSMD11	13783	-3.453814744949341	-0.595363	Yes	
row_60	RPA2	13802	-3.4789621829986572	-0.58590996	Yes	
row_61	PSMD9	13825	-3.498201847076416	-0.57666284	Yes	
row_62	PSMD14	13984	-3.7826273441314697	-0.5755503	Yes	
row_63	UBE2C	14022	-3.8508172035217285	-0.5662175	Yes	
row_64	PSMD7	14029	-3.858494758605957	-0.55480856	Yes	
row_65	POLE4	14071	-3.936347246170044	-0.5454788	Yes	
row_66	PSMC6	14079	-3.952395439147949	-0.5338488	Yes	
row_67	ANAPC11	14136	-4.054510116577148	-0.5251507	Yes	
row_68	DBF4	14166	-4.108557224273682	-0.51449955	Yes	
row_69	PSMB6	14198	-4.173231601715088	-0.5037829	Yes	
row_70	PSMA4	14233	-4.227622985839844	-0.4930985	Yes	
row_71	MCM3	14255	-4.267348289489746	-0.48143175	Yes	
row_72	PSMA2	14457	-4.729596138000488	-0.4802688	Yes	
row_73	POLA2	14533	-4.911606788635254	-0.4702062	Yes	
row_74	UBE2E1	14561	-4.988535404205322	-0.45673007	Yes	
row_75	PSMB3	14612	-5.115108013153076	-0.4443895	Yes	
row_76	PSMB1	14628	-5.164187908172607	-0.42958134	Yes	
row_77	PSMA3	14819	-5.888686656951904	-0.4241435	Yes	
row_78	PSMC2	14822	-5.915173530578613	-0.40617672	Yes	
row_79	PRIM1	14837	-5.979046821594238	-0.38880906	Yes	
row_80	GMNN	14966	-6.903538703918457	-0.3761608	Yes	
row_81	PSMD4	15077	-8.499289512634277	-0.3574381	Yes	
row_82	CDT1	15106	-9.036434173583984	-0.33164242	Yes	
row_83	PSMB4	15113	-9.18789291381836	-0.30392668	Yes	
row_84	PSMA5	15135	-10.147501945495605	-0.27426788	Yes	
row_85	PSMA6	15141	-10.422077178955078	-0.24270958	Yes	
row_86	PSMB10	15161	-12.009282112121582	-0.20722172	Yes	
row_87	PSMB8	15186	-15.76928997039795	-0.16056009	Yes	
row_88	PSME1	15187	-16.251163482666016	-0.11083493	Yes	
row_89	PSME2	15191	-17.950611114501953	-0.056108452	Yes	
row_90	PSMB9	15193	-18.359058380126953	2.0504376E-7	Yes	
