NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCHS1	40	24.76897621154785	0.038138933	Yes	
row_1	DLC1	65	22.156021118164062	0.073036805	Yes	
row_2	SNAI2	70	21.919124603271484	0.1088727	Yes	
row_3	SLIT2	194	15.744550704956055	0.12663609	Yes	
row_4	PKD2	195	15.721787452697754	0.15253039	Yes	
row_5	BMP4	205	15.356771469116211	0.17722581	Yes	
row_6	SLIT3	206	15.320716857910156	0.20245954	Yes	
row_7	BMP2	223	14.838980674743652	0.22583729	Yes	
row_8	HAND2	238	14.53415584564209	0.24884579	Yes	
row_9	ELN	242	14.351383209228516	0.27228376	Yes	
row_10	ALPK2	248	14.243125915527344	0.29541063	Yes	
row_11	FLRT2	257	13.977052688598633	0.31790003	Yes	
row_12	SFRP2	275	13.555318832397461	0.3390971	Yes	
row_13	ADAMTS5	276	13.484540939331055	0.3613066	Yes	
row_14	APLNR	281	13.463676452636719	0.38321608	Yes	
row_15	TGFBR2	302	13.124903678894043	0.40350506	Yes	
row_16	ANKRD1	310	12.912104606628418	0.42430684	Yes	
row_17	SEMA3C	332	12.482617378234863	0.44347152	Yes	
row_18	CLDN5	430	10.504903793334961	0.4543317	Yes	
row_19	TBX1	450	10.256366729736328	0.46996248	Yes	
row_20	TEK	455	10.186569213867188	0.48647445	Yes	
row_21	NOG	480	9.839086532592773	0.50108594	Yes	
row_22	HEYL	504	9.512526512145996	0.51522595	Yes	
row_23	HEY1	563	8.902027130126953	0.52603614	Yes	
row_24	FOXF1	574	8.788705825805664	0.5398473	Yes	
row_25	ROBO2	587	8.629923820495605	0.55326414	Yes	
row_26	PARVA	606	8.454581260681152	0.5659938	Yes	
row_27	MEGF8	617	8.384038925170898	0.57913846	Yes	
row_28	TPM1	631	8.26911735534668	0.5918946	Yes	
row_29	S1PR1	641	8.15216064453125	0.6047238	Yes	
row_30	SOX4	683	7.779201507568359	0.6148136	Yes	
row_31	HAS2	752	7.180466651916504	0.62212425	Yes	
row_32	SHOX2	834	6.501840114593506	0.6274538	Yes	
row_33	ENG	868	6.283934116363525	0.63561213	Yes	
row_34	SMO	895	6.118262767791748	0.64396244	Yes	
row_35	DLL1	914	6.022837162017822	0.6526869	Yes	
row_36	SOX11	924	5.9870381355285645	0.66195005	Yes	
