NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR1	1251	4.394615173339844	-0.06903127	No	
row_1	RNASEL	2120	2.2573845386505127	-0.11938015	No	
row_2	SOCS3	2555	1.682094931602478	-0.14284092	No	
row_3	PTPN11	3165	1.1181504726409912	-0.17960832	No	
row_4	IFITM2	3616	0.8438947796821594	-0.20672162	No	
row_5	PTPN1	3826	0.7307386994361877	-0.21826512	No	
row_6	IFNAR1	5883	0.0994468405842781	-0.3537743	No	
row_7	IP6K2	6910	-0.07324445247650146	-0.42132396	No	
row_8	TYK2	7772	-0.23649437725543976	-0.47746834	No	
row_9	KPNB1	8424	-0.3896132707595825	-0.51926625	No	
row_10	STAT2	8966	-0.528697669506073	-0.5533669	No	
row_11	KPNA1	9127	-0.5731744766235352	-0.56216145	No	
row_12	IRF3	10453	-1.0421053171157837	-0.6464625	No	
row_13	IRF8	11170	-1.372139573097229	-0.6895117	No	
row_14	IFITM3	12696	-2.318485736846924	-0.7830721	No	
row_15	IRF5	12995	-2.6035335063934326	-0.7946955	No	
row_16	ABCE1	13059	-2.6610307693481445	-0.79061705	No	
row_17	IRF6	13385	-2.9780666828155518	-0.80286425	No	
row_18	BST2	13655	-3.285536289215088	-0.81046003	No	
row_19	MX2	13862	-3.5691821575164795	-0.8130158	No	
row_20	IRF4	14084	-3.9595301151275635	-0.8153537	Yes	
row_21	RSAD2	14195	-4.168782711029053	-0.80971104	Yes	
row_22	IFITM1	14208	-4.195068836212158	-0.7975132	Yes	
row_23	SAMHD1	14283	-4.33425235748291	-0.78898007	Yes	
row_24	ADAR	14288	-4.344361782073975	-0.77579147	Yes	
row_25	HLA-G	14427	-4.646975994110107	-0.7705177	Yes	
row_26	GBP2	14476	-4.7694292068481445	-0.7589194	Yes	
row_27	OAS3	14664	-5.260453224182129	-0.7549828	Yes	
row_28	MX1	14717	-5.455954551696777	-0.7415229	Yes	
row_29	OAS2	14745	-5.5416669845581055	-0.72614604	Yes	
row_30	IFIT5	14770	-5.628873348236084	-0.710301	Yes	
row_31	SOCS1	14785	-5.698240280151367	-0.69358057	Yes	
row_32	XAF1	14811	-5.8260178565979	-0.6771911	Yes	
row_33	PTPN6	14844	-6.000759124755859	-0.6607229	Yes	
row_34	IFI6	14900	-6.37869930267334	-0.6446037	Yes	
row_35	IRF2	14903	-6.388325214385986	-0.6249537	Yes	
row_36	ISG20	15014	-7.5381903648376465	-0.60887724	Yes	
row_37	IRF7	15027	-7.740503311157227	-0.5857006	Yes	
row_38	OAS1	15036	-7.834973335266113	-0.56196713	Yes	
row_39	OASL	15044	-7.94619607925415	-0.53782326	Yes	
row_40	IFIT2	15075	-8.426925659179688	-0.51371	Yes	
row_41	IFIT3	15078	-8.512880325317383	-0.48748103	Yes	
row_42	IFI27	15081	-8.549309730529785	-0.4611392	Yes	
row_43	IFIT1	15093	-8.74571418762207	-0.43478373	Yes	
row_44	USP18	15105	-8.998071670532227	-0.40764678	Yes	
row_45	ISG15	15115	-9.207924842834473	-0.3797279	Yes	
row_46	STAT1	15122	-9.32321548461914	-0.3512538	Yes	
row_47	HLA-C	15149	-11.099032402038574	-0.31860188	Yes	
row_48	HLA-E	15150	-11.117681503295898	-0.28417468	Yes	
row_49	HLA-B	15151	-11.138444900512695	-0.24968317	Yes	
row_50	IRF9	15157	-11.687451362609863	-0.2138219	Yes	
row_51	HLA-A	15166	-12.697202682495117	-0.175032	Yes	
row_52	IFI35	15168	-12.717256546020508	-0.13571757	Yes	
row_53	HLA-F	15179	-14.076173782348633	-0.09278964	Yes	
row_54	IRF1	15181	-14.451542854309082	-0.0481048	Yes	
row_55	PSMB8	15186	-15.76928997039795	4.6242375E-4	Yes	
