NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOXO3	4074	0.6228477358818054	-0.2687426	No	
row_1	SARS2	4297	0.523518443107605	-0.2821184	No	
row_2	MRPS35	4647	0.3993714451789856	-0.3042438	No	
row_3	MRPS27	5729	0.13277964293956757	-0.37563646	No	
row_4	LARS2	6562	-0.017267942428588867	-0.4308044	No	
row_5	EARS2	7162	-0.1178140714764595	-0.47024962	No	
row_6	MTIF3	7982	-0.2807380259037018	-0.52387226	No	
row_7	MTRF1L	8187	-0.3277423083782196	-0.5365608	No	
row_8	MRPL45	8440	-0.39334267377853394	-0.55226475	No	
row_9	MRPS31	8644	-0.4431954026222229	-0.56458783	No	
row_10	MTRF1	8990	-0.5357083678245544	-0.5860945	No	
row_11	MRPL19	8991	-0.5359519124031067	-0.5847059	No	
row_12	RARS2	9129	-0.5736194252967834	-0.59231114	No	
row_13	TRNT1	9213	-0.6037282347679138	-0.59625494	No	
row_14	TRMT5	9416	-0.6689105033874512	-0.60792685	No	
row_15	POLRMT	9493	-0.6867980360984802	-0.6111908	No	
row_16	GFM2	9612	-0.7324147820472717	-0.61712384	No	
row_17	AARS2	9725	-0.7727311849594116	-0.6225542	No	
row_18	GFM1	9781	-0.7952114939689636	-0.6241437	No	
row_19	TRMT61B	9864	-0.822598934173584	-0.62745404	No	
row_20	MRPS2	9957	-0.8545420169830322	-0.6313452	No	
row_21	MRPL50	10117	-0.916244387626648	-0.63952273	No	
row_22	FASTKD2	10271	-0.9744976162910461	-0.6471511	No	
row_23	PTCD3	10295	-0.9813615083694458	-0.6461348	No	
row_24	RPUSD4	10297	-0.9821680784225464	-0.6436564	No	
row_25	MTIF2	10436	-1.0357015132904053	-0.6501308	No	
row_26	MRPL3	10531	-1.0756205320358276	-0.6535819	No	
row_27	MRPS10	10699	-1.1482410430908203	-0.6616892	No	
row_28	MRPL33	10737	-1.1636065244674683	-0.6611298	No	
row_29	WARS2	10914	-1.2524305582046509	-0.66956437	No	
row_30	FASTKD5	10932	-1.2621439695358276	-0.66742235	No	
row_31	ELAC2	11094	-1.3337459564208984	-0.67465085	No	
row_32	IARS2	11230	-1.3983699083328247	-0.67998654	No	
row_33	MRPL1	11487	-1.5124492645263672	-0.6930564	No	
row_34	MRPL28	11547	-1.5452357530593872	-0.6929681	No	
row_35	TFB1M	11578	-1.5584827661514282	-0.69092095	No	
row_36	MRPL44	11583	-1.563178539276123	-0.6871363	No	
row_37	QRSL1	11962	-1.7801684141159058	-0.7076086	No	
row_38	MRPL39	12036	-1.8235663175582886	-0.7077282	No	
row_39	MRPS5	12111	-1.8809399604797363	-0.7077655	No	
row_40	TRIT1	12116	-1.8828814029693604	-0.7031525	No	
row_41	MRPL10	12124	-1.8907862901687622	-0.6987181	No	
row_42	DARS2	12240	-1.9787063598632812	-0.7012229	No	
row_43	FASTKD1	12397	-2.080953359603882	-0.7061837	No	
row_44	MRPL48	12419	-2.096282482147217	-0.7021459	No	
row_45	GADD45GIP1	12578	-2.2260689735412598	-0.70686334	No	
row_46	MRPL30	12704	-2.3257901668548584	-0.7091325	Yes	
row_47	MRPS14	12718	-2.339916944503784	-0.7039326	Yes	
row_48	MRPL41	12734	-2.3548178672790527	-0.6988268	Yes	
row_49	MRPS25	12757	-2.375905752182007	-0.6941309	Yes	
row_50	MRPL42	12759	-2.3789350986480713	-0.6880335	Yes	
row_51	MRPS9	12768	-2.3856873512268066	-0.68238324	Yes	
row_52	MRPS12	12777	-2.3951172828674316	-0.67670846	Yes	
row_53	MTG1	12783	-2.3994760513305664	-0.67082334	Yes	
row_54	MRPS16	12904	-2.5082576274871826	-0.67228794	Yes	
row_55	YARS2	12905	-2.5091426372528076	-0.66578686	Yes	
row_56	MRPS34	12950	-2.5433688163757324	-0.66211706	Yes	
row_57	MRPL46	13057	-2.6569931507110596	-0.6622672	Yes	
row_58	DAP3	13141	-2.7364015579223633	-0.6606853	Yes	
row_59	MRPS33	13157	-2.752824544906616	-0.6545483	Yes	
row_60	MRPL32	13173	-2.7683334350585938	-0.6483711	Yes	
row_61	MRPL47	13183	-2.7746527194976807	-0.64177936	Yes	
row_62	MRPL51	13195	-2.7844741344451904	-0.6352949	Yes	
row_63	TFB2M	13203	-2.7895679473876953	-0.6285318	Yes	
row_64	FASTK	13230	-2.8173224925994873	-0.62295765	Yes	
row_65	MRPL35	13349	-2.9380486011505127	-0.623176	Yes	
row_66	MRPS28	13357	-2.946404218673706	-0.6160065	Yes	
