NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LOXL2	15	28.417787551879883	0.037401885	Yes	
row_1	CALD1	16	28.366819381713867	0.07573158	Yes	
row_2	PDGFRB	32	25.875194549560547	0.10969787	Yes	
row_3	THBS1	36	25.442819595336914	0.14387728	Yes	
row_4	JAM3	100	19.67061424255371	0.16627048	Yes	
row_5	ITGA5	116	19.25518226623535	0.1912917	Yes	
row_6	SERPINE1	126	18.914012908935547	0.21625061	Yes	
row_7	PDGFRA	183	16.13265037536621	0.23432837	Yes	
row_8	SLIT2	194	15.744550704956055	0.25493822	Yes	
row_9	BMP4	205	15.356771469116211	0.2750241	Yes	
row_10	COL4A1	228	14.725882530212402	0.29346013	Yes	
row_11	PLXDC1	232	14.632184028625488	0.31303203	Yes	
row_12	RECK	261	13.869429588317871	0.32991216	Yes	
row_13	SFRP2	275	13.555318832397461	0.34736454	Yes	
row_14	TGFBR2	302	13.124903678894043	0.36337152	Yes	
row_15	ROBO4	317	12.750753402709961	0.37967032	Yes	
row_16	SCG2	352	12.010629653930664	0.39364013	Yes	
row_17	AMOTL1	355	11.875977516174316	0.40955424	Yes	
row_18	ANGPT1	359	11.774910926818848	0.42526537	Yes	
row_19	PXDN	386	11.32361125946045	0.43883842	Yes	
row_20	EGR3	395	11.198234558105469	0.4534381	Yes	
row_21	TBX1	450	10.256366729736328	0.46370864	Yes	
row_22	TEK	455	10.186569213867188	0.4772071	Yes	
row_23	PGF	487	9.7409029006958	0.48830935	Yes	
row_24	HEY1	563	8.902027130126953	0.49535453	Yes	
row_25	TGFBI	571	8.830119132995605	0.5068208	Yes	
row_26	NR4A1	573	8.796849250793457	0.5186408	Yes	
row_27	PLXND1	592	8.59321117401123	0.5290561	Yes	
row_28	BMPER	595	8.580376625061035	0.54051715	Yes	
row_29	PARVA	606	8.454581260681152	0.5512766	Yes	
row_30	CCBE1	609	8.44527816772461	0.56255513	Yes	
row_31	S1PR1	641	8.15216064453125	0.5715107	Yes	
row_32	AMOTL2	676	7.820689678192139	0.57981896	Yes	
row_33	VEGFC	689	7.7118144035339355	0.58944196	Yes	
row_34	APOD	695	7.674160480499268	0.5994792	Yes	
row_35	PTPRB	709	7.533153057098389	0.60879433	Yes	
row_36	SEMA5A	718	7.478938102722168	0.6183684	Yes	
row_37	GREM1	754	7.172321796417236	0.6257342	Yes	
row_38	THY1	775	6.986418724060059	0.63384545	Yes	
row_39	TCF21	803	6.734614372253418	0.64115137	Yes	
row_40	VASH1	820	6.6090617179870605	0.64901847	Yes	
row_41	ENG	868	6.283934116363525	0.6543865	Yes	
row_42	DLL1	914	6.022837162017822	0.65953463	Yes	
row_43	KDR	920	5.996771812438965	0.66730535	Yes	
row_44	NRP2	930	5.953973770141602	0.6747524	Yes	
row_45	ACVRL1	935	5.893024444580078	0.6824494	Yes	
row_46	FLT4	943	5.844476699829102	0.68988144	Yes	
row_47	AMOT	972	5.692261695861816	0.69571245	Yes	
row_48	CALCRL	1050	5.255730152130127	0.6976978	Yes	
row_49	NOTCH4	1200	4.584200859069824	0.6939917	Yes	
row_50	HOXA3	1220	4.498856067657471	0.6988082	Yes	
row_51	NRCAM	1242	4.428866386413574	0.70339715	Yes	
row_52	TGFBR1	1259	4.355206489562988	0.7082189	Yes	
row_53	EPHB4	1296	4.236883163452148	0.7115518	Yes	
row_54	MYH9	1356	4.023057460784912	0.71306753	Yes	
row_55	FGF2	1394	3.8962290287017822	0.7158737	Yes	
row_56	MCAM	1404	3.8733699321746826	0.72050947	Yes	
row_57	ANXA2	1408	3.86177396774292	0.72552824	Yes	
row_58	APOLD1	1444	3.746413469314575	0.72826487	Yes	
row_59	CD34	1464	3.6945176124572754	0.7319945	Yes	
row_60	CDH13	1465	3.6944029331207275	0.73698646	Yes	
row_61	RAMP2	1504	3.5603370666503906	0.7392723	Yes	
row_62	RORA	1525	3.509084463119507	0.7426849	Yes	
row_63	RBPJ	1553	3.4496490955352783	0.7455521	Yes	
row_64	EFNB2	1560	3.4236998558044434	0.74977964	Yes	
row_65	DLL4	1580	3.386364698410034	0.7530929	Yes	
row_66	EPHB2	1651	3.2064948081970215	0.75277436	No	
row_67	CTNNB1	1766	2.93108868598938	0.7491602	No	
row_68	PDGFA	1895	2.641733407974243	0.7442247	No	
row_69	NRP1	1903	2.623079538345337	0.74730396	No	
row_70	ENPEP	1933	2.5548479557037354	0.7488292	No	
row_71	ROBO1	2192	2.1602590084075928	0.7346053	No	
row_72	EPHB3	2206	2.145613193511963	0.7366407	No	
row_73	ID1	2246	2.0815064907073975	0.7368619	No	
row_74	LEPR	2303	1.9824498891830444	0.7358197	No	
row_75	GATA2	2304	1.982423186302185	0.7384984	No	
row_76	GAB1	2389	1.8725560903549194	0.7354472	No	
row_77	MED1	2393	1.8696733713150024	0.7377742	No	
row_78	PTK2	2492	1.7443764209747314	0.73361963	No	
row_79	SRF	2602	1.6272432804107666	0.7285758	No	
row_80	BMPR1A	2647	1.5770628452301025	0.7277832	No	
row_81	JAG1	2936	1.3094996213912964	0.71041644	No	
row_82	ANGPT2	2989	1.2580138444900513	0.70866114	No	
row_83	ITGB3	3282	1.044735074043274	0.6906708	No	
row_84	ACTG1	3313	1.0249086618423462	0.6900623	No	
row_85	HOXA7	3450	0.9349771738052368	0.6822891	No	
row_86	HOXB13	3505	0.8975317478179932	0.6799138	No	
row_87	EPHA1	3574	0.8633858561515808	0.6765622	No	
row_88	SIRT1	3696	0.7992960214614868	0.66960233	No	
row_89	GJA5	3778	0.7502085566520691	0.66523397	No	
row_90	SLC12A6	3927	0.6827168464660645	0.6563226	No	
row_91	NCL	4223	0.5603067874908447	0.63747835	No	
row_92	GPLD1	5077	0.2808600962162018	0.5811801	No	
row_93	HOXB3	5103	0.2736872434616089	0.5798888	No	
