NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERINC5	746	7.214178562164307	-0.03520317	No	
row_1	TRIM13	1309	4.167791366577148	-0.06424873	No	
row_2	BNIP3L	1582	3.383145809173584	-0.0755839	No	
row_3	IL6	1896	2.6373894214630127	-0.09113035	No	
row_4	ABCC9	2002	2.4425368309020996	-0.093240894	No	
row_5	RNASEL	2120	2.2573845386505127	-0.096517995	No	
row_6	MID2	2263	2.054727077484131	-0.101860575	No	
row_7	TRIM6	2376	1.8883191347122192	-0.10554093	No	
row_8	OPRK1	2732	1.4796665906906128	-0.1261862	No	
row_9	USP20	2877	1.358152151107788	-0.13305001	No	
row_10	TBKBP1	3003	1.248839020729065	-0.1388689	No	
row_11	TRIM35	3013	1.2402981519699097	-0.13699509	No	
row_12	TRIM41	3260	1.0541797876358032	-0.15124394	No	
row_13	CARD8	3494	0.9064095616340637	-0.16492328	No	
row_14	IFITM2	3616	0.8438947796821594	-0.17128336	No	
row_15	NCBP1	3774	0.7538772225379944	-0.18021554	No	
row_16	ZCCHC3	3870	0.7046419382095337	-0.18512513	No	
row_17	LYST	3881	0.701339066028595	-0.18439196	No	
row_18	CD207	3972	0.6662572622299194	-0.18904574	No	
row_19	NLRP1	3974	0.6656785011291504	-0.18778549	No	
row_20	SERINC3	4063	0.627790093421936	-0.192383	No	
row_21	RAB2B	4088	0.614477813243866	-0.19275343	No	
row_22	SETD2	4118	0.6041393876075745	-0.1934768	No	
row_23	BNIP3	4344	0.5097858905792236	-0.20741491	No	
row_24	ZMYND11	4759	0.36741286516189575	-0.23419826	No	
row_25	ZDHHC1	4769	0.3650073707103729	-0.23406896	No	
row_26	TRIM32	4865	0.33716246485710144	-0.23971094	No	
row_27	TRIM8	4872	0.3348262310028076	-0.23944241	No	
row_28	F2RL1	5001	0.30092111229896545	-0.2473499	No	
row_29	BCL2L1	5048	0.28761717677116394	-0.24983396	No	
row_30	AZI2	5518	0.18034012615680695	-0.2806456	No	
row_31	TLR9	5532	0.17548494040966034	-0.28115988	No	
row_32	DDIT4	5818	0.113533616065979	-0.29987553	No	
row_33	FCN3	6110	0.05816848948597908	-0.31910026	No	
row_34	MORC3	6172	0.04756739363074303	-0.3230597	No	
row_35	TRAF3	6274	0.0286566074937582	-0.32971534	No	
row_36	MAVS	6388	0.010600817389786243	-0.33720452	No	
row_37	SLFN11	6390	0.010125539265573025	-0.3372508	No	
row_38	NMB	6596	-0.023266827687621117	-0.3508293	No	
row_39	FADD	6659	-0.030926605686545372	-0.35488835	No	
row_40	TLR8	6770	-0.049463752657175064	-0.3621007	No	
row_41	ZDHHC11	6804	-0.05457127466797829	-0.3641852	No	
row_42	TRIM28	7165	-0.11807487159967422	-0.3878765	No	
row_43	CLPB	7560	-0.19170111417770386	-0.4136808	No	
row_44	DHX15	7563	-0.1924058496952057	-0.41343024	No	
row_45	PDE12	7593	-0.19795526564121246	-0.41496313	No	
row_46	SENP7	7604	-0.20033980906009674	-0.4152285	No	
row_47	AGBL5	7890	-0.26252481341362	-0.4336472	No	
row_48	TRIM56	7983	-0.28140178322792053	-0.4392009	No	
row_49	G3BP1	8095	-0.3066444396972656	-0.44596714	No	
row_50	ATAD3A	8189	-0.3288363218307495	-0.4514928	No	
row_51	TRIM52	8269	-0.3500378131866455	-0.45604572	No	
row_52	USP44	8443	-0.3936755955219269	-0.46675918	No	
row_53	STAT2	8966	-0.528697669506073	-0.50039905	No	
row_54	SKP2	9225	-0.6070134043693542	-0.5163367	No	
row_55	ATG7	9359	-0.6506669521331787	-0.52387947	No	
row_56	APOBEC3C	9482	-0.6850359439849854	-0.5306226	No	
row_57	RNASE2	9501	-0.690267026424408	-0.5304432	No	
row_58	CNOT7	9655	-0.7462259531021118	-0.5391248	No	
row_59	TNF	9814	-0.8067548871040344	-0.54801804	No	
row_60	RNF185	10003	-0.8702117204666138	-0.55877864	No	
row_61	TLR7	10404	-1.0250767469406128	-0.5833208	No	
row_62	IRF3	10453	-1.0421053171157837	-0.58443403	No	
row_63	EXOSC4	10719	-1.1553044319152832	-0.59974414	No	
row_64	PML	10926	-1.2570445537567139	-0.61093014	No	
row_65	PTPRC	11028	-1.3023892641067505	-0.6150472	No	
row_66	AGBL4	11175	-1.374561071395874	-0.62201124	No	
row_67	BCL2	11199	-1.3845312595367432	-0.62078047	No	
row_68	PHB2	11215	-1.3901951313018799	-0.6190067	No	
row_69	DHX16	11277	-1.419967532157898	-0.62023085	No	
row_70	APOBEC3B	11288	-1.425785779953003	-0.61805385	No	
row_71	TRIM5	11458	-1.5014106035232544	-0.6262937	No	
row_72	TLR2	11476	-1.5063085556030273	-0.6244215	No	
row_73	USP27X	11566	-1.553666353225708	-0.6272401	No	
row_74	TANK	11703	-1.623592495918274	-0.6330432	No	
row_75	MYD88	11919	-1.753706693649292	-0.6438375	No	
row_76	LILRB1	12013	-1.8027195930480957	-0.64642566	No	
row_77	AKAP1	12212	-1.958990454673767	-0.655681	No	
row_78	TBK1	12366	-2.06156587600708	-0.661741	No	
row_79	IFNAR2	12472	-2.1353583335876465	-0.66446376	No	
row_80	TRIM11	12609	-2.244507074356079	-0.66902936	No	
row_81	PYCARD	12640	-2.2751283645629883	-0.6664888	No	
row_82	MLKL	12641	-2.277703046798706	-0.6619493	No	
row_83	ZNFX1	12671	-2.3047001361846924	-0.65928334	No	
row_84	IFITM3	12696	-2.318485736846924	-0.6562576	No	
row_85	RNF135	13053	-2.656057357788086	-0.6746248	No	
row_86	DDX56	13146	-2.73966383934021	-0.67527914	No	
row_87	NDUFAF4	13274	-2.852247953414917	-0.67803526	No	
row_88	SLFN13	13542	-3.142963409423828	-0.68951684	Yes	
row_89	TTC4	13625	-3.244830846786499	-0.6884997	Yes	
row_90	BST2	13655	-3.285536289215088	-0.68387896	Yes	
row_91	APOBEC3A	13745	-3.411219596862793	-0.68299544	Yes	
row_92	MX2	13862	-3.5691821575164795	-0.68359166	Yes	
row_93	RNASE6	13888	-3.6083221435546875	-0.67806166	Yes	
row_94	DDX60L	14139	-4.0568718910217285	-0.6865919	Yes	
row_95	APOBEC3F	14142	-4.061300754547119	-0.67863053	Yes	
row_96	RSAD2	14195	-4.168782711029053	-0.67377806	Yes	
row_97	IFITM1	14208	-4.195068836212158	-0.6662147	Yes	
row_98	EIF2AK2	14223	-4.217913627624512	-0.65873873	Yes	
row_99	SAMHD1	14283	-4.33425235748291	-0.6540217	Yes	
row_100	CD40	14290	-4.349163055419922	-0.64575243	Yes	
row_101	MOV10	14424	-4.6418232917785645	-0.6453407	Yes	
row_102	PRF1	14446	-4.707603931427002	-0.63735396	Yes	
row_103	TLR3	14475	-4.762750625610352	-0.6297226	Yes	
row_104	GBP2	14476	-4.7694292068481445	-0.62021697	Yes	
row_105	RIPK3	14517	-4.863219261169434	-0.6131829	Yes	
row_106	RNASE1	14560	-4.986259460449219	-0.60603654	Yes	
row_107	APOBEC3D	14639	-5.187439918518066	-0.60088193	Yes	
row_108	IKBKE	14653	-5.22333288192749	-0.59133565	Yes	
row_109	OAS3	14664	-5.260453224182129	-0.581516	Yes	
row_110	NLRC5	14671	-5.287604808807373	-0.5713764	Yes	
row_111	MX1	14717	-5.455954551696777	-0.5634933	Yes	
row_112	OAS2	14745	-5.5416669845581055	-0.5542431	Yes	
row_113	RELA	14769	-5.624778747558594	-0.5445613	Yes	
row_114	IFIT5	14770	-5.628873348236084	-0.5333428	Yes	
row_115	IFI16	14791	-5.7205963134765625	-0.52327067	Yes	
row_116	DHX58	14795	-5.73591947555542	-0.5120382	Yes	
row_117	EXOSC5	14802	-5.789333820343018	-0.5008986	Yes	
row_118	APOBEC3H	14825	-5.921873092651367	-0.4905583	Yes	
row_119	TRIM26	14881	-6.242210865020752	-0.4817728	Yes	
row_120	PQBP1	14888	-6.276320457458496	-0.46966264	Yes	
row_121	IFI6	14900	-6.37869930267334	-0.45768076	Yes	
row_122	IRF2	14903	-6.388325214385986	-0.44508153	Yes	
row_123	CASP1	14989	-7.123823165893555	-0.43653283	Yes	
row_124	DDX60	14996	-7.231655120849609	-0.42251867	Yes	
row_125	ISG20	15014	-7.5381903648376465	-0.40862465	Yes	
row_126	IRF7	15027	-7.740503311157227	-0.3939951	Yes	
row_127	OAS1	15036	-7.834973335266113	-0.37891144	Yes	
row_128	IFI44L	15037	-7.836197376251221	-0.36329362	Yes	
row_129	OASL	15044	-7.94619607925415	-0.34785533	Yes	
row_130	ZBP1	15064	-8.260649681091309	-0.33265436	Yes	
row_131	GBP5	15074	-8.38549518585205	-0.31653994	Yes	
row_132	IFIT2	15075	-8.426925659179688	-0.29974478	Yes	
row_133	IFIT3	15078	-8.512880325317383	-0.28291124	Yes	
row_134	IFI27	15081	-8.549309730529785	-0.26600507	Yes	
row_135	APOBEC3G	15089	-8.690679550170898	-0.24914949	Yes	
row_136	IFIT1	15093	-8.74571418762207	-0.23191835	Yes	
row_137	USP18	15105	-8.998071670532227	-0.21471597	Yes	
row_138	ISG15	15115	-9.207924842834473	-0.19696242	Yes	
row_139	RTP4	15120	-9.298943519592285	-0.17869514	Yes	
row_140	STAT1	15122	-9.32321548461914	-0.1601801	Yes	
row_141	PMAIP1	15130	-9.529007911682129	-0.14165369	Yes	
row_142	AIM2	15131	-9.725885391235352	-0.12226965	Yes	
