NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	6	31.933088302612305	0.063922755	Yes	
row_1	CHSY3	38	24.94453239440918	0.112111576	Yes	
row_2	VCAN	43	24.292301177978516	0.16077663	Yes	
row_3	GPC6	45	24.216798782348633	0.2094885	Yes	
row_4	CHSY1	94	20.076326370239258	0.24674462	Yes	
row_5	OGN	119	19.09394073486328	0.2836131	Yes	
row_6	CHPF	157	17.370357513427734	0.316148	Yes	
row_7	DCN	165	17.14639663696289	0.3502207	Yes	
row_8	SDC2	203	15.382715225219727	0.37875208	Yes	
row_9	XYLT1	225	14.827024459838867	0.4072249	Yes	
row_10	HSPG2	226	14.778420448303223	0.436992	Yes	
row_11	GPC1	233	14.619424819946289	0.4660411	Yes	
row_12	OMD	239	14.511360168457031	0.4949388	Yes	
row_13	CSPG4	293	13.33823013305664	0.51829135	Yes	
row_14	LUM	313	12.807376861572266	0.54282874	Yes	
row_15	SDC1	356	11.86196517944336	0.563937	Yes	
row_16	PAPSS2	404	11.060457229614258	0.5830994	Yes	
row_17	NDST1	564	8.898359298706055	0.5904818	Yes	
row_18	LYVE1	577	8.770843505859375	0.60735273	Yes	
row_19	HAS1	648	8.064167022705078	0.61895514	Yes	
row_20	CHST15	670	7.875626087188721	0.63342625	Yes	
row_21	HS2ST1	684	7.767768859863281	0.64821047	Yes	
row_22	B3GAT1	703	7.58155632019043	0.6622881	Yes	
row_23	ARSB	734	7.334791660308838	0.6750732	Yes	
row_24	HAS2	752	7.180466651916504	0.68840927	Yes	
row_25	HS3ST2	777	6.976247787475586	0.7008699	Yes	
row_26	DSE	780	6.962409973144531	0.7147612	Yes	
row_27	FMOD	897	6.104105472564697	0.719366	Yes	
row_28	ACAN	1125	4.880951881408691	0.71414834	Yes	
row_29	EXT1	1146	4.781523704528809	0.7224535	Yes	
row_30	CHST14	1193	4.605384826660156	0.7286802	Yes	
row_31	CHST3	1243	4.425134658813477	0.73434496	Yes	
row_32	DSEL	1249	4.402209281921387	0.7428805	Yes	
row_33	HS3ST3B1	1490	3.6044652462005615	0.73422986	Yes	
row_34	ST3GAL2	1511	3.5466532707214355	0.7400477	Yes	
row_35	CSGALNACT2	1638	3.252164363861084	0.73824507	Yes	
row_36	ST3GAL1	1671	3.1421284675598145	0.7424526	Yes	
row_37	PRELP	1759	2.9452505111694336	0.7426173	Yes	
row_38	CHST11	1802	2.8624634742736816	0.74559855	Yes	
row_39	CHPF2	2091	2.301398277282715	0.73114103	No	
row_40	GLCE	2123	2.254446029663086	0.73362684	No	
row_41	B3GNT7	2130	2.2484540939331055	0.7377579	No	
row_42	CHST7	2235	2.0999934673309326	0.7350931	No	
row_43	GPC2	2296	1.9879202842712402	0.73511946	No	
row_44	GPC3	2485	1.7506052255630493	0.72618204	No	
row_45	HAS3	2605	1.6216539144515991	0.7215593	No	
row_46	HYAL1	2611	1.6146622896194458	0.7244801	No	
row_47	HS6ST1	2776	1.4416173696517944	0.7165114	No	
row_48	GLB1L	2782	1.4339370727539062	0.7190682	No	
row_49	HS3ST6	2838	1.3946137428283691	0.718231	No	
row_50	SLC26A2	2907	1.3336975574493408	0.7164093	No	
row_51	ST3GAL3	3024	1.224420428276062	0.71118534	No	
row_52	CSGALNACT1	3117	1.1566946506500244	0.707416	No	
row_53	AGRN	3293	1.0376192331314087	0.6979043	No	
row_54	B3GALT6	3344	0.9961321353912354	0.69659597	No	
row_55	XYLT2	3372	0.9774391651153564	0.6967748	No	
row_56	ABCC5	3633	0.8354161381721497	0.68122065	No	
row_57	CHST1	3635	0.8342443108558655	0.68283474	No	
row_58	B4GALT5	3789	0.7465162873268127	0.6741952	No	
row_59	HS3ST1	3791	0.7462683320045471	0.67563206	No	
row_60	HS6ST2	3801	0.7400386929512024	0.676526	No	
row_61	EXT2	3897	0.6950566172599792	0.67162794	No	
row_62	UST	3918	0.6861732006072998	0.67168415	No	
