NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	4	32.399681091308594	0.02288364	Yes	
row_1	COL16A1	5	32.00046157836914	0.045747872	Yes	
row_2	SPARC	8	30.717422485351562	0.06756246	Yes	
row_3	COL1A2	11	29.397796630859375	0.08843418	Yes	
row_4	TIMP3	14	28.692869186401367	0.10880223	Yes	
row_5	LOXL2	15	28.417787551879883	0.12910666	Yes	
row_6	CALD1	16	28.366819381713867	0.14937466	Yes	
row_7	COL1A1	20	27.48004722595215	0.1688097	Yes	
row_8	ECM2	21	27.471452713012695	0.18843797	Yes	
row_9	COL3A1	27	26.716320037841797	0.2071944	Yes	
row_10	LOXL1	31	26.20947265625	0.22572161	Yes	
row_11	THBS1	36	25.442819595336914	0.2436346	Yes	
row_12	MMP2	37	25.394012451171875	0.26177853	Yes	
row_13	VCAN	43	24.292301177978516	0.27880302	Yes	
row_14	CDH11	47	24.027847290039062	0.29577148	Yes	
row_15	FSTL1	53	23.427934646606445	0.31217837	Yes	
row_16	MMP14	54	23.417184829711914	0.32890987	Yes	
row_17	COL5A2	59	22.85744857788086	0.34497562	Yes	
row_18	IGFBP4	62	22.470273971557617	0.36089766	Yes	
row_19	ACTA2	64	22.187326431274414	0.37668398	Yes	
row_20	SNAI2	70	21.919124603271484	0.39201283	Yes	
row_21	THBS2	77	21.315616607666016	0.40684402	Yes	
row_22	LOX	115	19.259807586669922	0.41814613	Yes	
row_23	SERPINE1	126	18.914012908935547	0.43099555	Yes	
row_24	CYR61	127	18.894344329833984	0.4444955	Yes	
row_25	CTGF	128	18.852785110473633	0.45796576	Yes	
row_26	ADAM12	134	18.654354095458984	0.47096196	Yes	
row_27	MATN3	140	18.34299087524414	0.48373568	Yes	
row_28	PMP22	145	17.939308166503906	0.4962874	Yes	
row_29	HTRA1	147	17.762527465820312	0.5089122	Yes	
row_30	PCOLCE	163	17.18509864807129	0.52019405	Yes	
row_31	DCN	165	17.14639663696289	0.5323786	Yes	
row_32	SFRP4	170	16.894439697265625	0.54418385	Yes	
row_33	RGS4	172	16.717662811279297	0.5560621	Yes	
row_34	INHBA	185	15.998537063598633	0.5666955	Yes	
row_35	SPOCK1	189	15.838951110839844	0.577813	Yes	
row_36	SLIT2	194	15.744550704956055	0.5887966	Yes	
row_37	SLIT3	206	15.320716857910156	0.5990122	Yes	
row_38	FSTL3	210	15.166752815246582	0.6096494	Yes	
row_39	COL4A2	212	15.11036205291748	0.62037927	Yes	
row_40	BMP1	213	15.095419883728027	0.63116485	Yes	
row_41	CTHRC1	220	14.929512977600098	0.64143324	Yes	
row_42	COL4A1	228	14.725882530212402	0.6514896	Yes	
row_43	GPC1	233	14.619424819946289	0.6616693	Yes	
row_44	GEM	237	14.566446304321289	0.6718776	Yes	
row_45	EDIL3	241	14.362748146057129	0.6819404	Yes	
row_46	CXCL12	252	14.103829383850098	0.69135296	Yes	
row_47	NID2	260	13.898611068725586	0.70081824	Yes	
row_48	COL5A3	283	13.445183753967285	0.7089627	Yes	
row_49	PRRX1	289	13.378717422485352	0.7181895	Yes	
row_50	MXRA5	335	12.422538757324219	0.7240747	Yes	
row_51	SCG2	352	12.010629653930664	0.73159295	Yes	
row_52	SDC1	356	11.86196517944336	0.7398689	Yes	
row_53	FAP	377	11.419772148132324	0.7466991	Yes	
row_54	MFAP5	424	10.564449310302734	0.7511903	Yes	
row_55	COMP	449	10.270650863647461	0.7569336	Yes	
row_56	COL12A1	451	10.256308555603027	0.76419526	Yes	
row_57	TAGLN	476	9.861371040344238	0.76964617	Yes	
row_58	COL8A2	500	9.574555397033691	0.77495867	Yes	
row_59	PLOD1	502	9.55329704284668	0.781718	Yes	
row_60	CALU	532	9.18713665008545	0.7863549	Yes	
row_61	DPYSL3	565	8.898032188415527	0.7905858	Yes	
row_62	CRLF1	567	8.87975025177002	0.7968639	Yes	
row_63	TGFBI	571	8.830119132995605	0.8029736	Yes	
row_64	MGP	616	8.384475708007812	0.80604017	Yes	
row_65	FBLN5	652	8.030447959899902	0.8094518	Yes	
row_66	POSTN	653	8.024052619934082	0.815185	Yes	
row_67	VEGFC	689	7.7118144035339355	0.81836903	Yes	
row_68	BASP1	720	7.443270683288574	0.8216935	Yes	
row_69	ITGA2	727	7.370853424072266	0.82656115	Yes	
row_70	GREM1	754	7.172321796417236	0.82995784	Yes	
row_71	THY1	775	6.986418724060059	0.8336204	Yes	
row_72	NT5E	789	6.862429618835449	0.83765966	Yes	
row_73	PCOLCE2	802	6.738885879516602	0.84167707	Yes	
row_74	SGCD	813	6.667936325073242	0.84577674	Yes	
row_75	RHOB	876	6.21439790725708	0.84609646	Yes	
row_76	LAMA1	877	6.211242198944092	0.8505344	Yes	
row_77	PTHLH	894	6.124548435211182	0.853847	Yes	
row_78	GADD45B	937	5.885524272918701	0.85526097	Yes	
row_79	VCAM1	957	5.750356197357178	0.85810685	Yes	
row_80	GAS1	971	5.69292688369751	0.8613105	Yes	
row_81	ITGB1	986	5.6218976974487305	0.86439687	Yes	
row_82	GLIPR1	1024	5.406510353088379	0.86580086	Yes	
row_83	TFPI2	1171	4.674376487731934	0.85943776	No	
row_84	SFRP1	1228	4.467929363250732	0.8589084	No	
row_85	ITGB5	1287	4.263751983642578	0.85810024	No	
row_86	LAMC1	1300	4.195195198059082	0.8603002	No	
row_87	FGF2	1394	3.8962290287017822	0.85690343	No	
row_88	FBN2	1430	3.7867062091827393	0.85728294	No	
row_89	MYLK	1606	3.3347575664520264	0.8480354	No	
row_90	FLNA	1610	3.3295249938964844	0.85021496	No	
row_91	CDH2	1654	3.2010247707366943	0.84964436	No	
row_92	IL6	1896	2.6373894214630127	0.8355123	No	
row_93	JUN	2117	2.258887529373169	0.8225054	No	
row_94	LAMC2	2183	2.168673515319824	0.8197351	No	
row_95	PTX3	2253	2.074150562286377	0.8166315	No	
row_96	TNFRSF12A	2294	1.9909368753433228	0.81539565	No	
row_97	NNMT	2298	1.9852858781814575	0.81661475	No	
row_98	SGCG	2318	1.9716107845306396	0.8167608	No	
row_99	APLP1	2341	1.9367400407791138	0.81668246	No	
row_100	PDLIM4	2387	1.8768582344055176	0.81503284	No	
row_101	GPX7	2406	1.8455228805541992	0.8151552	No	
row_102	PLAUR	2593	1.640549898147583	0.8039661	No	
row_103	TNFRSF11B	2652	1.5692116022109985	0.80123276	No	
row_104	CADM1	2672	1.5396732091903687	0.8010701	No	
row_105	ENO2	2718	1.4927356243133545	0.79914606	No	
row_106	DST	2722	1.489118218421936	0.8000106	No	
row_107	FZD8	2774	1.4417717456817627	0.7976514	No	
row_108	TGFB1	2926	1.318688988685608	0.78855836	No	
row_109	ITGB3	3282	1.044735074043274	0.7657121	No	
row_110	FAS	3323	1.0184681415557861	0.7637814	No	
row_111	IGFBP2	3523	0.8877407312393188	0.7511905	No	
row_112	WIPF1	3536	0.8826474547386169	0.75102365	No	
row_113	BDNF	3594	0.8521129488945007	0.74784434	No	
row_114	ID2	3928	0.6826358437538147	0.7262014	No	
row_115	OXTR	4023	0.643038809299469	0.7204138	No	
row_116	SERPINE2	4215	0.5631875991821289	0.7081226	No	
row_117	SGCB	4282	0.529884397983551	0.704115	No	
row_118	PLOD2	4444	0.4690726697444916	0.6937503	No	
row_119	CDH6	4512	0.4447535574436188	0.68961537	No	
row_120	SLC6A8	4702	0.3849789500236511	0.6773298	No	
row_121	ABI3BP	5171	0.25978708267211914	0.64641285	No	
row_122	MAGEE1	5632	0.15369871258735657	0.61595184	No	
row_123	EMP3	5705	0.13664619624614716	0.61126447	No	
row_124	AREG	6031	0.07276417315006256	0.58971745	No	
row_125	COPA	6966	-0.08438677340745926	0.52770555	No	
row_126	SPP1	7072	-0.10220693051815033	0.5208005	No	
row_127	ITGAV	7105	-0.10874374955892563	0.5187515	No	
row_128	TNFAIP3	7142	-0.11494102329015732	0.5164411	No	
row_129	IL32	7400	-0.16168123483657837	0.49947682	No	
row_130	PFN2	7716	-0.22235392034053802	0.47870126	No	
row_131	CD44	7795	-0.24119213223457336	0.47368985	No	
row_132	VEGFA	7843	-0.25132274627685547	0.47074586	No	
row_133	SNTB1	8231	-0.34050890803337097	0.44526976	No	
row_134	CXCL1	8513	-0.4097326993942261	0.4268877	No	
