NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLCG1	593	8.586529731750488	-0.026917342	No	
row_1	NEDD4	749	7.196889877319336	-0.02671439	No	
row_2	VCAM1	957	5.750356197357178	-0.032086615	No	
row_3	EGR1	1251	4.394615173339844	-0.045164205	No	
row_4	FLNA	1610	3.3295249938964844	-0.06412467	No	
row_5	NCAM1	1704	3.050248861312866	-0.06585606	No	
row_6	SMAD7	1713	3.0331079959869385	-0.06195527	No	
row_7	TRIM29	1769	2.928892135620117	-0.06133492	No	
row_8	EIF4G3	1831	2.7997827529907227	-0.06130261	No	
row_9	TRIM2	1845	2.7673261165618896	-0.058123067	No	
row_10	MID1	1908	2.6082186698913574	-0.058437306	No	
row_11	KPNA3	2073	2.325068473815918	-0.06595409	No	
row_12	RNASEL	2120	2.2573845386505127	-0.06571622	No	
row_13	TRIM6	2376	1.8883191347122192	-0.079927936	No	
row_14	SOCS3	2555	1.682094931602478	-0.089316286	No	
row_15	RANBP2	2711	1.5016299486160278	-0.09743762	No	
row_16	POM121	2811	1.411210298538208	-0.10196399	No	
row_17	POM121C	2957	1.281850814819336	-0.109740995	No	
row_18	CAMK2G	2994	1.2558271884918213	-0.110301465	No	
row_19	TRIM35	3013	1.2402981519699097	-0.10968663	No	
row_20	PTPN11	3165	1.1181504726409912	-0.11810224	No	
row_21	TRIM62	3206	1.087740182876587	-0.11917461	No	
row_22	IFITM2	3616	0.8438947796821594	-0.14516245	No	
row_23	PTPN1	3826	0.7307386994361877	-0.15800454	No	
row_24	EIF4G2	3869	0.7049360275268555	-0.15976954	No	
row_25	NUP188	4219	0.5623418688774109	-0.18217556	No	
row_26	TRIM46	4766	0.36549514532089233	-0.21798079	No	
row_27	CAMK2D	4826	0.3478950262069702	-0.22139908	No	
row_28	TRIM8	4872	0.3348262310028076	-0.2239047	No	
row_29	NUP214	5215	0.24815598130226135	-0.24630406	No	
row_30	ARIH1	5431	0.19769537448883057	-0.2603246	No	
row_31	KPNA5	5528	0.17712798714637756	-0.26645505	No	
row_32	EIF4G1	5796	0.11845576763153076	-0.28405228	No	
row_33	IFNAR1	5883	0.0994468405842781	-0.28963074	No	
row_34	ICAM1	6025	0.07419837266206741	-0.29890665	No	
row_35	PPM1B	6131	0.0552130751311779	-0.3058143	No	
row_36	NUP133	6307	0.023703139275312424	-0.3174269	No	
row_37	FLNB	6525	-0.009727789089083672	-0.33185527	No	
row_38	IP6K2	6910	-0.07324445247650146	-0.35730562	No	
row_39	EIF4E2	7156	-0.11673861742019653	-0.37344116	No	
row_40	TRIM68	7383	-0.1599220484495163	-0.388249	No	
row_41	KPNA4	7471	-0.17360441386699677	-0.39378563	No	
row_42	PDE12	7593	-0.19795526564121246	-0.40154952	No	
row_43	CAMK2B	7696	-0.21876128017902374	-0.40801847	No	
row_44	TYK2	7772	-0.23649437725543976	-0.41266447	No	
