NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS35	4647	0.3993714451789856	-0.30641675	No	
row_1	MRPS27	5729	0.13277964293956757	-0.3775675	No	
row_2	MTIF3	7982	-0.2807380259037018	-0.5257794	No	
row_3	MTRF1L	8187	-0.3277423083782196	-0.5382282	No	
row_4	MRPL45	8440	-0.39334267377853394	-0.5536434	No	
row_5	MRPS31	8644	-0.4431954026222229	-0.56565285	No	
row_6	MRPL19	8991	-0.5359519124031067	-0.5868314	No	
row_7	GFM2	9612	-0.7324147820472717	-0.62551826	No	
row_8	GFM1	9781	-0.7952114939689636	-0.63407236	No	
row_9	MRPS2	9957	-0.8545420169830322	-0.64289814	No	
row_10	MRPL50	10117	-0.916244387626648	-0.6504651	No	
row_11	OXA1L	10281	-0.9776011109352112	-0.6580986	No	
row_12	PTCD3	10295	-0.9813615083694458	-0.6557874	No	
row_13	MTIF2	10436	-1.0357015132904053	-0.66171014	No	
row_14	MRPL3	10531	-1.0756205320358276	-0.66445786	No	
row_15	MRRF	10563	-1.0883686542510986	-0.6629928	No	
row_16	MRPS10	10699	-1.1482410430908203	-0.66822064	No	
row_17	MRPL33	10737	-1.1636065244674683	-0.66690964	No	
row_18	MRPL1	11487	-1.5124492645263672	-0.7116172	No	
row_19	MRPL28	11547	-1.5452357530593872	-0.71052945	No	
row_20	MRPL44	11583	-1.563178539276123	-0.70779455	No	
row_21	MRPL39	12036	-1.8235663175582886	-0.73183024	Yes	
row_22	MRPS5	12111	-1.8809399604797363	-0.73065066	Yes	
row_23	MRPL10	12124	-1.8907862901687622	-0.72533387	Yes	
row_24	ERAL1	12306	-2.0266716480255127	-0.73076844	Yes	
row_25	MTFMT	12321	-2.034191608428955	-0.7251206	Yes	
row_26	MRPL48	12419	-2.096282482147217	-0.724768	Yes	
row_27	GADD45GIP1	12578	-2.2260689735412598	-0.7280351	Yes	
row_28	MRPS36	12699	-2.3207993507385254	-0.7284798	Yes	
row_29	MRPL30	12704	-2.3257901668548584	-0.7212272	Yes	
row_30	MRPS14	12718	-2.339916944503784	-0.714525	Yes	
