NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	79	-0.8560622	-2.9002776	0.0	0.0	0.0	1188	tags=73%, list=8%, signal=79%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	163	-0.73317283	-2.7741199	0.0	0.0	0.0	1180	tags=51%, list=8%, signal=55%	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.7	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.7	Details ...	56	-0.82761484	-2.6644304	0.0	0.0	0.0	1111	tags=64%, list=7%, signal=69%	
INTERFERON SIGNALING%REACTOME DATABASE ID RELEASE 83%913531	INTERFERON SIGNALING%REACTOME DATABASE ID RELEASE 83%913531	Details ...	169	-0.6962257	-2.6526568	0.0	0.0	0.0	1192	tags=40%, list=8%, signal=43%	
DNA REPLICATION%REACTOME DATABASE ID RELEASE 83%69306	DNA REPLICATION%REACTOME DATABASE ID RELEASE 83%69306	Details ...	117	-0.72252774	-2.6520734	0.0	0.0	0.0	2678	tags=60%, list=18%, signal=72%	
SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME%R-HSA-69052.4	SWITCHING OF ORIGINS TO A POST-REPLICATIVE STATE%REACTOME%R-HSA-69052.4	Details ...	82	-0.7360446	-2.6005607	0.0	0.0	0.0	2113	tags=54%, list=14%, signal=62%	
MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.1	MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.1	Details ...	92	-0.73772436	-2.5936382	0.0	0.0	0.0	3159	tags=77%, list=21%, signal=97%	
SYNTHESIS OF DNA%REACTOME%R-HSA-69239.2	SYNTHESIS OF DNA%REACTOME%R-HSA-69239.2	Details ...	111	-0.72924453	-2.59028	0.0	0.0	0.0	2123	tags=56%, list=14%, signal=64%	
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 83%5368286	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 83%5368286	Details ...	86	-0.74490577	-2.5763838	0.0	0.0	0.0	3159	tags=80%, list=21%, signal=101%	
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	Details ...	52	-0.81211555	-2.5754144	0.0	0.0	0.0	1192	tags=54%, list=8%, signal=58%	
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 83%5389840	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 83%5389840	Details ...	86	-0.75227624	-2.5753803	0.0	0.0	0.0	2496	tags=74%, list=16%, signal=89%	
DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	DEFENSE RESPONSE TO SYMBIONT%GOBP%GO:0140546	Details ...	148	-0.6957809	-2.5667264	0.0	0.0	0.0	1653	tags=41%, list=11%, signal=45%	
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	Details ...	148	-0.6957809	-2.5624034	0.0	0.0	0.0	1653	tags=41%, list=11%, signal=45%	
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 83%5419276	MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 83%5419276	Details ...	86	-0.744698	-2.5606258	0.0	0.0	0.0	2496	tags=72%, list=16%, signal=86%	
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	Details ...	103	-0.7313891	-2.5605955	0.0	0.0	0.0	2491	tags=66%, list=16%, signal=78%	
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	Details ...	125	-0.7151585	-2.5591521	0.0	0.0	0.0	2491	tags=63%, list=16%, signal=75%	
APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS%REACTOME%R-HSA-174143.1	APC C-MEDIATED DEGRADATION OF CELL CYCLE PROTEINS%REACTOME%R-HSA-174143.1	Details ...	84	-0.734176	-2.55306	0.0	0.0	0.0	2113	tags=52%, list=14%, signal=61%	
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	Details ...	148	-0.6903486	-2.551515	0.0	0.0	0.0	3189	tags=64%, list=21%, signal=80%	
