NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	147	0.86580086	2.5546474	0.0	0.0	0.0	1024	tags=56%, list=7%, signal=60%	
EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	Details ...	159	0.8402662	2.544614	0.0	0.0	0.0	808	tags=47%, list=5%, signal=49%	
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	Details ...	159	0.8402662	2.4970527	0.0	0.0	0.0	808	tags=47%, list=5%, signal=49%	
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	Details ...	160	0.8398618	2.4795666	0.0	0.0	0.0	808	tags=47%, list=5%, signal=49%	
COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 83%1474290	COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 83%1474290	Details ...	73	0.8792928	2.4037778	0.0	0.0	0.0	900	tags=58%, list=6%, signal=61%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.4	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.4	Details ...	55	0.90426415	2.379896	0.0	0.0	0.0	900	tags=67%, list=6%, signal=71%	
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	63	0.882223	2.365789	0.0	0.0	0.0	1005	tags=62%, list=7%, signal=66%	
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.3	ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.3	Details ...	50	0.8855801	2.3236475	0.0	0.0	0.0	816	tags=60%, list=5%, signal=63%	
COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 83%8948216	COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 83%8948216	Details ...	38	0.92892265	2.2935605	0.0	0.0	0.0	816	tags=74%, list=5%, signal=78%	
BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	Details ...	192	0.75242037	2.2827253	0.0	0.0	0.0	1933	tags=50%, list=13%, signal=57%	
CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	CADHERIN SIGNALING PATHWAY%PANTHER PATHWAY%P00012	Details ...	111	0.7724988	2.2582169	0.0	0.0	0.0	2229	tags=54%, list=15%, signal=63%	
ANGIOGENESIS%GOBP%GO:0001525	ANGIOGENESIS%GOBP%GO:0001525	Details ...	144	0.7530929	2.2459025	0.0	0.0	0.0	1580	tags=46%, list=10%, signal=51%	
PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	Details ...	46	0.8710893	2.240124	0.0	0.0	0.0	986	tags=57%, list=6%, signal=60%	
COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	COLLAGEN FIBRIL ORGANIZATION%GOBP%GO:0030199	Details ...	37	0.9005363	2.236261	0.0	0.0	0.0	808	tags=68%, list=5%, signal=71%	
DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME%R-HSA-1474228.4	DEGRADATION OF THE EXTRACELLULAR MATRIX%REACTOME%R-HSA-1474228.4	Details ...	87	0.78436583	2.2296777	0.0	0.0	0.0	1519	tags=40%, list=10%, signal=44%	
REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090092	REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090092	Details ...	186	0.71998024	2.1961308	0.0	0.0	0.0	1841	tags=38%, list=12%, signal=43%	
HEART MORPHOGENESIS%GOBP%GO:0003007	HEART MORPHOGENESIS%GOBP%GO:0003007	Details ...	136	0.7456693	2.1842456	0.0	0.0	0.0	1903	tags=44%, list=13%, signal=50%	
GLYCOSAMINOGLYCAN METABOLISM%REACTOME%R-HSA-1630316.2	GLYCOSAMINOGLYCAN METABOLISM%REACTOME%R-HSA-1630316.2	Details ...	110	0.74559855	2.1842234	0.0	0.0	0.0	1802	tags=35%, list=12%, signal=40%	
HEART VALVE DEVELOPMENT%GOBP%GO:0003170	HEART VALVE DEVELOPMENT%GOBP%GO:0003170	Details ...	62	0.8031439	2.1829047	0.0	0.0	0.0	1836	tags=50%, list=12%, signal=57%	
INTEGRINS IN ANGIOGENESIS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRINS IN ANGIOGENESIS	INTEGRINS IN ANGIOGENESIS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTEGRINS IN ANGIOGENESIS	Details ...	61	0.80695295	2.1822648	0.0	0.0	0.0	1466	tags=46%, list=10%, signal=51%	
DISEASES OF GLYCOSYLATION%REACTOME DATABASE ID RELEASE 83%3781865	DISEASES OF GLYCOSYLATION%REACTOME DATABASE ID RELEASE 83%3781865		126	0.7428868	2.1790051	0.0	0.0	0.0	1276	tags=32%, list=8%, signal=34%	
BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS		38	0.8594852	2.17899	0.0	0.0	0.0	1300	tags=58%, list=9%, signal=63%	
INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034		159	0.724696	2.1735964	0.0	0.0	0.0	1479	tags=33%, list=10%, signal=37%	
ECM PROTEOGLYCANS%REACTOME%R-HSA-3000178.4	ECM PROTEOGLYCANS%REACTOME%R-HSA-3000178.4		48	0.84800524	2.1733758	0.0	0.0	0.0	1479	tags=60%, list=10%, signal=67%	
HALLMARK_UV_RESPONSE_DN%MSIGDBHALLMARK%HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN%MSIGDBHALLMARK%HALLMARK_UV_RESPONSE_DN		106	0.7502329	2.1673198	0.0	0.0	0.0	1545	tags=34%, list=10%, signal=38%	
PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY	PID_AVB3_INTEGRIN_PATHWAY%MSIGDB_C2%PID_AVB3_INTEGRIN_PATHWAY		54	0.81748116	2.1596277	0.0	0.0	0.0	1466	tags=48%, list=10%, signal=53%	
PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY	PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY		33	0.8706781	2.1546128	0.0	0.0	0.0	1036	tags=55%, list=7%, signal=58%	
NEGATIVE REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090101	NEGATIVE REGULATION OF TRANSMEMBRANE RECEPTOR PROTEIN SERINE/THREONINE KINASE SIGNALING PATHWAY%GOBP%GO:0090101		99	0.7558677	2.15367	0.0	0.0	0.0	1841	tags=40%, list=12%, signal=46%	
O-GLYCOSYLATION OF TSR DOMAIN-CONTAINING PROTEINS%REACTOME%R-HSA-5173214.1	O-GLYCOSYLATION OF TSR DOMAIN-CONTAINING PROTEINS%REACTOME%R-HSA-5173214.1		34	0.8594841	2.1468017	0.0	0.0	0.0	1400	tags=59%, list=9%, signal=65%	
DISEASES ASSOCIATED WITH GLYCOSAMINOGLYCAN METABOLISM%REACTOME DATABASE ID RELEASE 83%3560782	DISEASES ASSOCIATED WITH GLYCOSAMINOGLYCAN METABOLISM%REACTOME DATABASE ID RELEASE 83%3560782		39	0.8500555	2.1458712	0.0	0.0	0.0	1243	tags=49%, list=8%, signal=53%	
NEGATIVE REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090288	NEGATIVE REGULATION OF CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0090288		68	0.78088176	2.1450033	0.0	0.0	0.0	1841	tags=54%, list=12%, signal=62%	
GASTRULATION%GOBP%GO:0007369	GASTRULATION%GOBP%GO:0007369		71	0.77433056	2.1387057	0.0	0.0	0.0	1287	tags=41%, list=8%, signal=44%	
ENDODERM DEVELOPMENT%GOBP%GO:0007492	ENDODERM DEVELOPMENT%GOBP%GO:0007492		43	0.8381963	2.136996	0.0	0.0	0.0	1300	tags=44%, list=9%, signal=48%	
REGULATION OF IGF ACTIVITY BY IGFBP%REACTOME DATABASE ID RELEASE 83%381426	REGULATION OF IGF ACTIVITY BY IGFBP%REACTOME DATABASE ID RELEASE 83%381426		88	0.75446427	2.1356015	0.0	0.0	0.0	1718	tags=41%, list=11%, signal=46%	
DEFECTIVE B3GALTL CAUSES PPS%REACTOME%R-HSA-5083635.2	DEFECTIVE B3GALTL CAUSES PPS%REACTOME%R-HSA-5083635.2		33	0.8700014	2.1317885	0.0	0.0	0.0	1400	tags=61%, list=9%, signal=67%	
FORMATION OF PRIMARY GERM LAYER%GOBP%GO:0001704	FORMATION OF PRIMARY GERM LAYER%GOBP%GO:0001704		61	0.79486144	2.1298993	0.0	0.0	0.0	1287	tags=44%, list=8%, signal=48%	
BURN WOUND HEALING%WIKIPATHWAYS_20220510%WP5055%HOMO SAPIENS	BURN WOUND HEALING%WIKIPATHWAYS_20220510%WP5055%HOMO SAPIENS		68	0.78330976	2.1263688	0.0	0.0	0.0	920	tags=31%, list=6%, signal=33%	
REGULATION OF BMP SIGNALING PATHWAY%GOBP%GO:0030510	REGULATION OF BMP SIGNALING PATHWAY%GOBP%GO:0030510		60	0.7927264	2.125025	0.0	0.0	0.0	1841	tags=50%, list=12%, signal=57%	
ENDODERMAL CELL DIFFERENTIATION%GOBP%GO:0035987	ENDODERMAL CELL DIFFERENTIATION%GOBP%GO:0035987		33	0.8697668	2.1219647	0.0	0.0	0.0	697	tags=39%, list=5%, signal=41%	
ENDODERM FORMATION%GOBP%GO:0001706	ENDODERM FORMATION%GOBP%GO:0001706		39	0.84906226	2.1219356	0.0	0.0	0.0	1287	tags=46%, list=8%, signal=50%	
INTEGRIN CELL SURFACE INTERACTIONS%REACTOME DATABASE ID RELEASE 83%216083	INTEGRIN CELL SURFACE INTERACTIONS%REACTOME DATABASE ID RELEASE 83%216083		60	0.78850645	2.115557	0.0	0.0	0.0	986	tags=37%, list=6%, signal=39%	
CARDIAC CHAMBER DEVELOPMENT%GOBP%GO:0003205	CARDIAC CHAMBER DEVELOPMENT%GOBP%GO:0003205		79	0.74945796	2.1076727	0.0	0.0	0.0	1903	tags=48%, list=13%, signal=55%	
EYE DEVELOPMENT%GOBP%GO:0001654	EYE DEVELOPMENT%GOBP%GO:0001654		136	0.717489	2.1064522	0.0	0.0	0.0	1903	tags=35%, list=13%, signal=39%	
OSSIFICATION%GOBP%GO:0001503	OSSIFICATION%GOBP%GO:0001503		113	0.7271481	2.1058915	0.0	0.0	0.0	1228	tags=28%, list=8%, signal=31%	
CHONDROITIN SULFATE DERMATAN SULFATE METABOLISM%REACTOME%R-HSA-1793185.1	CHONDROITIN SULFATE DERMATAN SULFATE METABOLISM%REACTOME%R-HSA-1793185.1		47	0.8212591	2.1051326	0.0	0.0	0.0	1249	tags=43%, list=8%, signal=46%	
