"MUT1"	"MUT2"	"MUT3"	"MUT4"	"WT1"	"WT2"	"WT3"	"WT4"
"A2m"	8.59426559805261	19.1686293807742	8.96117582018857	10.7399894809358	8.50610633450701	18.6070767888086	11.6257600062161	20.6840161586176
"A4galt"	171.885311961052	128.855786392982	144.498960100541	128.879873771229	127.591595017605	138.519349427797	116.257600062161	131.625557373021
"Aaas"	543.348569476882	562.279795169378	541.030990143885	543.443467735349	507.814548170069	516.863244133572	516.377506942766	546.246063098037
"Aacs"	340.905868722754	363.139034380223	375.249237470396	379.121628677032	346.198527814435	350.433279522562	351.679240188038	331.884441090545
"Aagab"	550.987916675151	514.358221717442	567.91451760445	459.67154978405	495.055388668308	528.234235504511	450.498200240875	448.467077620935
"Aak1"	1494.44729566137	1385.46593468818	1535.72150618482	1593.81443897087	1555.76684858133	1402.76684457852	1633.41928087336	1540.01902126434
"Aamp"	1602.35307483692	1568.63283766002	1560.36473969033	1635.70039794652	1616.16020355633	1560.92699728339	1520.06812081276	1479.84733789382
"Aard"	65.88936958507	57.5058881423227	56.0073488761785	45.1079558199302	42.5305316725351	38.2478800658844	49.4094800264185	47.9493101858862
"Aars2"	316.077990328379	314.1525370738	301.319536953841	303.941702310482	282.402730305633	284.274784273465	306.145013497024	319.662067905908
"Aarsd1"	583.455142267794	609.136444766826	642.96436509853	606.80940567287	583.518894547181	574.751927476533	622.946973666414	610.178476679218
"Aasdh"	130.823820770356	143.764720355807	138.898225212923	172.913830643066	119.936099316549	138.519349427797	139.509120074593	161.711399058283
"Aasdhppt"	535.709222278613	501.579135463593	474.942318469994	541.295469839162	558.851186177111	524.099329551442	572.568680306144	543.425515440043
"Aass"	22.918041594807	28.7529440711614	25.7633804830421	23.6279768580587	35.7256466049294	38.2478800658844	9.68813333851343	22.5643812639464
"Aatf"	505.151833485537	506.90375473603	476.062465447518	448.931560303115	512.918211970773	457.940834302345	480.531413590266	458.809085700244
"Aatk"	41.0614911906958	54.3111165788603	58.2476428312257	41.8859589756494	59.5427443415491	60.9898628077615	42.6277866894591	31.0260242379263
"Abat"	624.51663345849	657.058018218761	645.204659053577	642.251370959958	717.064763998941	668.821037908843	647.167307012697	687.273445997702
"Abca1"	306.528806330543	352.489795835348	361.807473740113	489.74352033067	443.168140027815	533.402867945847	404.963973549862	491.715475043499
"Abca2"	592.049407865846	666.642332909148	613.840543682917	579.959431970531	566.506681878167	563.380936105594	545.441906958306	525.562046939419
"Abca3"	565.311692671905	450.462790448195	433.496880301622	476.855532953548	530.781035273238	418.659227748194	380.743640203578	424.962513804324
"Abca4"	20.0532863954561	12.7790862538495	12.3216167527593	18.2579821175908	17.8628233024647	10.3372648826714	20.3450800108782	15.042920842631
"Abca5"	269.286988738982	232.153400278266	269.955421583181	265.277740179113	294.311279173943	285.308510761732	311.957893500133	284.875313457324
