NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS35	4647	0.3993714451789856	-0.3062712	No	
row_1	MRPS27	5729	0.13277964293956757	-0.37738574	No	
row_2	MRPL45	8440	-0.39334267377853394	-0.55546653	No	
row_3	MRPS31	8644	-0.4431954026222229	-0.56744474	No	
row_4	MRPL19	8991	-0.5359519124031067	-0.5885829	No	
row_5	GFM1	9781	-0.7952114939689636	-0.63819003	No	
row_6	MRPS2	9957	-0.8545420169830322	-0.6469613	No	
row_7	MRPL50	10117	-0.916244387626648	-0.65447044	No	
row_8	OXA1L	10281	-0.9776011109352112	-0.66204244	No	
row_9	PTCD3	10295	-0.9813615083694458	-0.6596736	No	
row_10	MRPL3	10531	-1.0756205320358276	-0.67168874	No	
row_11	MRPS10	10699	-1.1482410430908203	-0.67896396	No	
row_12	MRPL33	10737	-1.1636065244674683	-0.67758393	No	
row_13	MRPL1	11487	-1.5124492645263672	-0.72218335	No	
row_14	MRPL28	11547	-1.5452357530593872	-0.72100365	No	
row_15	MRPL44	11583	-1.563178539276123	-0.7181764	No	
row_16	MRPL39	12036	-1.8235663175582886	-0.74209356	No	
row_17	MRPS5	12111	-1.8809399604797363	-0.74080205	No	
row_18	MRPL10	12124	-1.8907862901687622	-0.73537433	No	
row_19	ERAL1	12306	-2.0266716480255127	-0.74068564	No	
row_20	MRPL48	12419	-2.096282482147217	-0.7412007	No	
row_21	GADD45GIP1	12578	-2.2260689735412598	-0.74433345	No	
row_22	MRPS36	12699	-2.3207993507385254	-0.7446392	Yes	
row_23	MRPL30	12704	-2.3257901668548584	-0.73725057	Yes	
row_24	MRPS14	12718	-2.339916944503784	-0.7304111	Yes	
row_25	MRPL41	12734	-2.3548178672790527	-0.723655	Yes	
row_26	MRPS25	12757	-2.375905752182007	-0.71729285	Yes	
row_27	MRPL42	12759	-2.3789350986480713	-0.7095307	Yes	
row_28	MRPS9	12768	-2.3856873512268066	-0.70220965	Yes	
row_29	MRPS12	12777	-2.3951172828674316	-0.69485766	Yes	
row_30	MRPS16	12904	-2.5082576274871826	-0.6949437	Yes	
row_31	MRPS34	12950	-2.5433688163757324	-0.68955284	Yes	
row_32	MRPL46	13057	-2.6569931507110596	-0.6878257	Yes	
row_33	DAP3	13141	-2.7364015579223633	-0.6843148	Yes	
row_34	MRPS33	13157	-2.752824544906616	-0.67624897	Yes	
row_35	MRPL32	13173	-2.7683334350585938	-0.6681321	Yes	
row_36	MRPL47	13183	-2.7746527194976807	-0.65959734	Yes	
row_37	MRPL51	13195	-2.7844741344451904	-0.6511626	Yes	
row_38	MRPL35	13349	-2.9380486011505127	-0.6516215	Yes	
row_39	MRPS28	13357	-2.946404218673706	-0.6423891	Yes	
row_40	MRPL40	13399	-2.9882731437683105	-0.63526946	Yes	
row_41	MRPL43	13525	-3.122074842453003	-0.6332695	Yes	
row_42	MRPL13	13623	-3.2432029247283936	-0.6290176	Yes	
row_43	MRPL20	13723	-3.380981683731079	-0.62444466	Yes	
row_44	MRPL27	13739	-3.404350519180298	-0.61423486	Yes	
row_45	MRPL17	13777	-3.4474234580993652	-0.6053395	Yes	
row_46	MRPL36	13817	-3.493652582168579	-0.5964244	Yes	
row_47	MRPL12	13829	-3.5024290084838867	-0.58562714	Yes	
row_48	MRPL55	13875	-3.5922420024871826	-0.57678473	Yes	
row_49	MRPL54	13879	-3.5982306003570557	-0.5651427	Yes	
row_50	AURKAIP1	13932	-3.678981065750122	-0.5564782	Yes	
row_51	MRPL37	13936	-3.6850473880767822	-0.5445505	Yes	
row_52	MRPL49	14039	-3.8797852993011475	-0.5385347	Yes	
row_53	MRPS15	14042	-3.8869876861572266	-0.5258762	Yes	
row_54	TUFM	14046	-3.8922038078308105	-0.5132668	Yes	
row_55	MRPL53	14056	-3.9076101779937744	-0.5010038	Yes	
row_56	MRPL34	14067	-3.929025173187256	-0.4887365	Yes	
row_57	MRPL21	14156	-4.085923194885254	-0.48111576	Yes	
row_58	MRPS11	14202	-4.1822099685668945	-0.470332	Yes	
row_59	MRPL23	14210	-4.199289798736572	-0.4569768	Yes	
row_60	MRPL22	14230	-4.223350524902344	-0.44433668	Yes	
row_61	MRPS7	14281	-4.3230204582214355	-0.4334205	Yes	
row_62	CHCHD1	14300	-4.378484725952148	-0.42020372	Yes	
row_63	MRPS23	14379	-4.538193702697754	-0.4104328	Yes	
row_64	MRPL15	14421	-4.631931781768799	-0.39790437	Yes	
row_65	MRPS24	14422	-4.633852958679199	-0.38265583	Yes	
row_66	MRPL24	14584	-5.051562786102295	-0.37668934	Yes	
row_67	MRPS21	14623	-5.150232791900635	-0.36225677	Yes	
row_68	MRPL52	14642	-5.202001094818115	-0.34633005	Yes	
row_69	MRPS26	14666	-5.260733127593994	-0.330541	Yes	
row_70	MRPL4	14692	-5.356562614440918	-0.31456903	Yes	
row_71	MRPL9	14702	-5.379946708679199	-0.29746103	Yes	
row_72	MRPS18C	14729	-5.498904228210449	-0.28108683	Yes	
row_73	MRPS22	14774	-5.645648956298828	-0.26542115	Yes	
row_74	MRPS30	14797	-5.7443132400512695	-0.2479746	Yes	
row_75	MRPL38	14937	-6.654462814331055	-0.23527731	Yes	
row_76	MRPS18B	14943	-6.741949081420898	-0.21342264	Yes	
row_77	MRPS17	14956	-6.818495273590088	-0.1917794	Yes	
row_78	MRPS6	14973	-6.946475505828857	-0.1699798	Yes	
row_79	MRPL18	14979	-7.002421855926514	-0.147268	Yes	
row_80	TSFM	14987	-7.108889579772949	-0.12433822	Yes	
row_81	MRPL2	15003	-7.306126594543457	-0.10128892	Yes	
row_82	MRPL11	15028	-7.742561340332031	-0.077399164	Yes	
row_83	MRPS18A	15057	-8.126211166381836	-0.0525117	Yes	
row_84	MRPL16	15073	-8.379801750183105	-0.025929276	Yes	
row_85	MRPL14	15139	-10.273327827453613	0.003574635	Yes	
